,time,x,z
0,1712306121.795565,0.0,-20.0
1,1712306133.0038233,-10.0,0.0
2,1712306177.184107,0.0,30.0
3,1712306244.4283524,0.0,-20.0
4,1712306255.4811418,-10.0,0.0
5,1712306299.7247424,0.0,30.0
6,1712306356.047664,0.0,-10.0
7,1712306367.1101205,10.0,0.0
8,1712306400.2559338,0.0,20.0
9,1712306456.514604,0.0,-10.0
10,1712306467.5759645,10.0,0.0
11,1712306500.7211723,0.0,20.0
12,1712306748.705546,0.0,-20.0
13,1712306759.761811,-10.0,0.0
14,1712306837.1143315,0.0,30.0
15,1712306926.471093,0.0,-20.0
16,1712306937.5418549,-10.0,0.0
17,1712307025.9601574,0.0,35.0
18,1712307115.325269,0.0,-20.0
19,1712307126.3939183,10.0,0.0
20,1712307203.7543664,0.0,30.0
21,1712307259.9577925,0.0,-5.0
22,1712307271.0037987,10.0,0.0
23,1712307304.1255074,0.0,10.0
24,1712307660.3028793,0.0,-5.0
25,1712307671.3535984,10.0,0.0
26,1712307704.5067997,0.0,10.0
27,1712307793.8691106,0.0,-20.0
28,1712307804.9451754,-10.0,0.0
29,1712307882.309446,0.0,30.0
30,1712307971.635486,0.0,-20.0
31,1712307982.7058077,-10.0,0.0
32,1712308060.0547984,0.0,30.0
33,1712308105.1767871,0.0,0.0
34,1712308116.2336726,10.0,0.0
35,1712308127.2521706,0.0,0.0
36,1712308205.4784381,0.0,-15.0
37,1712308216.526464,-10.0,0.0
38,1712308282.7732918,0.0,25.0
39,1712308627.9253836,0.0,0.0
40,1712308638.9884062,10.0,0.0
41,1712308650.0268226,0.0,0.0
42,1712308728.3438492,0.0,-15.0
43,1712308739.396456,10.0,0.0
44,1712308805.7087367,0.0,25.0
45,1712308895.004264,0.0,-20.0
46,1712308906.06246,-10.0,0.0
47,1712308994.4677873,0.0,35.0
48,1712309083.9574625,0.0,-20.0
49,1712309095.0288043,-10.0,0.0
50,1712309172.40158,0.0,30.0
51,1712309228.5775864,0.0,-5.0
52,1712309239.6547968,10.0,0.0
53,1712309272.7908206,0.0,10.0
54,1712309629.0086808,0.0,-5.0
55,1712309640.0822415,10.0,0.0
56,1712309673.2171106,0.0,10.0
57,1712309762.5824037,0.0,-20.0
58,1712309773.6547923,-10.0,0.0
59,1712309862.0373049,0.0,35.0
60,1712309951.3708513,0.0,-20.0
61,1712309962.439864,10.0,0.0
62,1712310039.7614598,0.0,30.0
63,1712310129.1197076,0.0,-20.0
64,1712310140.1899266,-10.0,0.0
65,1712310217.539916,0.0,30.0
66,1712310273.7247088,0.0,-5.0
67,1712310284.788325,10.0,0.0
68,1712310317.9091976,0.0,10.0
69,1712310707.2385159,0.0,-20.0
70,1712310718.2966757,-10.0,0.0
71,1712310806.7248237,0.0,35.0
72,1712310896.0709903,0.0,-20.0
73,1712310907.1220212,-10.0,0.0
74,1712310984.4704502,0.0,30.0
75,1712311073.8110657,0.0,-20.0
76,1712311084.8734689,-10.0,0.0
77,1712311162.2538478,0.0,30.0
78,1712311218.4239635,0.0,-5.0
79,1712311229.4912808,10.0,0.0
80,1712311262.6439962,0.0,10.0
81,1712311318.9017467,0.0,-5.0
82,1712311329.974231,10.0,0.0
83,1712311363.108799,0.0,10.0
84,1712311752.4390953,0.0,-20.0
85,1712311763.501654,10.0,0.0
86,1712311840.8415556,0.0,30.0
87,1712311885.9850364,0.0,0.0
88,1712311897.0412846,10.0,0.0
89,1712311908.0650988,0.0,0.0
90,1712311997.4123225,0.0,-20.0
91,1712312008.4657993,-10.0,0.0
92,1712312096.885868,0.0,35.0
93,1712312186.257447,0.0,-20.0
94,1712312197.3107638,-10.0,0.0
95,1712312274.6416583,0.0,30.0
96,1712312363.967986,0.0,-20.0
97,1712312375.0253084,-10.0,0.0
98,1712312452.334413,0.0,30.0
99,1712312808.5274372,0.0,-5.0
100,1712312819.5787873,10.0,0.0
101,1712312863.761136,0.0,15.0
102,1712312953.0978003,0.0,-20.0
103,1712312964.1606543,10.0,0.0
104,1712313041.4970222,0.0,30.0
105,1712313130.8288715,0.0,-20.0
106,1712313141.88515,10.0,0.0
107,1712313219.237151,0.0,30.0
108,1712313308.6552348,0.0,-20.0
109,1712313319.7398257,-10.0,0.0
110,1712313408.164757,0.0,35.0
111,1712313497.5326447,0.0,-20.0
112,1712313508.5940874,-10.0,0.0
113,1712313597.0012512,0.0,35.0
114,1712313986.341234,0.0,-20.0
115,1712313997.3891916,-10.0,0.0
116,1712314074.7292142,0.0,30.0
117,1712314164.0979807,0.0,-20.0
118,1712314175.1630695,10.0,0.0
119,1712314252.4774144,0.0,30.0
120,1712314330.7481081,0.0,-15.0
121,1712314341.813941,-10.0,0.0
122,1712314408.1140587,0.0,25.0
123,1712314486.3904116,0.0,-15.0
124,1712314497.4487965,10.0,0.0
