,time,min,avg,max,norm_factor
0,1712306088.1338346,0.285,0.42717,0.498,0.4989
1,1712306211.2854805,0.044,0.39099,0.478,0.49904000000000004
2,1712306333.8948991,0.422,0.50254,0.526,0.5115999999999999
3,1712306434.321442,0.297,0.49878,0.526,0.5013
4,1712306693.457558,0.108,0.41561,0.494,0.49778
5,1712306871.2232425,0.06,0.38697,0.482,0.492
6,1712307060.0417888,0.06,0.38571,0.502,0.49929
7,1712307237.8640764,0.414,0.51209,0.526,0.51235
8,1712307638.2091398,0.257,0.50832,0.534,0.48346
9,1712307738.6149669,0.088,0.32943,0.478,0.48748
10,1712307916.3950164,0.104,0.44802,0.502,0.50331
11,1712308094.1462922,0.386,0.50305,0.522,0.50054
12,1712308161.3197849,0.088,0.40782,0.502,0.51637
13,1712308616.9018376,0.43,0.51837,0.53,0.5111
14,1712308684.126534,0.084,0.39174,0.506,0.49904000000000004
15,1712308839.7866917,0.068,0.32465,0.486,0.49728
16,1712309028.700871,0.096,0.39551,0.494,0.51436
17,1712309206.50715,0.398,0.51712,0.53,0.50482
18,1712309606.9137118,0.35,0.52063,0.534,0.49652
19,1712309707.326662,0.036,0.36586,0.458,0.49024
20,1712309896.1353512,0.092,0.42817,0.502,0.49803
21,1712310073.87038,0.052,0.36159,0.498,0.5013
22,1712310251.6227944,0.37,0.48747,0.522,0.48622
23,1712310651.9898212,0.044,0.35079,0.478,0.50306
24,1712310840.8132682,0.096,0.38747,0.486,0.50029
25,1712311018.5475557,0.337,0.40506,0.506,0.50507
26,1712311196.3366745,0.39,0.51561,0.53,0.5023
27,1712311296.8167713,0.366,0.51963,0.534,0.49778
28,1712311697.1955662,0.088,0.43169,0.498,0.49326
29,1712311874.9621236,0.374,0.50053,0.53,0.49904000000000004
30,1712311942.167594,0.036,0.35129,0.494,0.50733
31,1712312131.0123754,0.096,0.39852,0.474,0.50004
32,1712312308.72335,0.132,0.40757,0.498,0.5013
